BettingSite, Date, PlayerName, Score, ScoreType
PrizePicks, Mon Jul 31 1:30 PM, isak, 31.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, Keoz, 32.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, neaLaN, 31.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 4:00 AM, Cabbi, 23.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 4:00 AM, Lucky, 15.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 4:00 AM, Anlelele, 16.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 4:00 AM, r1nkle, 13.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 4:00 AM, OWNER, 20.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 4:00 AM, cptkurtka023, 19.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:00 AM, ArtFr0st, 8.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:00 AM, zont1x, 15.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:00 AM, donk, 26.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:00 AM, junior, 11.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:00 AM, autimatic, 18.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:00 AM, Jeorge, 16.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, ZywOo, 17.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, flameZ, 18.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, Spinx, 19.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, Magisk, 17.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, apEX, 12.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, Jimpphat, 17.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, frozen, 19.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, xertioN, 17.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, torzsi, 10.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, siuhy, 16.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, device, 11.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, blameF, 14.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, Staehr, 16.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, Buzz, 15.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, b0RUP, 20.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, headtr1ck, 11.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, k0nfig, 21.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, Brollan, 18.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, hampus, 11.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 6:30 AM, REZ, 15.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 7:00 AM, slaxz-, 11.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 7:00 AM, awzek, 17.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 7:00 AM, Spiidi, 15.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 7:00 AM, XELLOW, 10.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 7:00 AM, ragga, 18.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 7:00 AM, BTN, 14.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 9:00 AM, XANTARES, 23.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 9:00 AM, woxic, 10.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 9:00 AM, Wicadia, 19.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 9:00 AM, ewjerkz, 18.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 9:00 AM, story, 10.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 9:00 AM, arrozdoce, 19.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, REDSTAR, 21.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, KalubeR, 20.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, dennyslaw, 11.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, BELCHONOKK, 16.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, Jyo, 16.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, xsepower, 9.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, broky, 12.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, ropz, 22.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, Twistzz, 21.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, rain, 19.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, karrigan, 12.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, NiKo, 22.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, m0NESY, 16.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, huNter-, 17.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, jks, 19.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, HooXi, 13.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, s1mple, 17.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, jL, 20.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, iM, 16.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, b1t, 22.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, Aleksib, 13.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, regali, 13.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, k1to, 20.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, FASHR, 16.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, F1KU, 18.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 10:00 AM, nexa, 13.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:00 PM, MATYS, 28.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:00 PM, fino, 11.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:00 PM, T4gg3D, 18.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:00 PM, VLDN, 19.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:00 PM, Impulse, 10.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:00 PM, Kind0, 16.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, sh1ro, 12.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, electroNic, 17.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, Perfecto, 15.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, HObbit, 19.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, buster, 13.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, Woro2k, 13.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, sdy, 17.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, br0, 20.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, kRaSnaL, 15.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, DemQQ, 18.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, afro, 12.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, mezii, 20.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, roeJ, 19.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, KRIMZ, 15.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, dexter, 17.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, acoR, 11.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, volt, 16.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, isak, 17.0, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, Keoz, 17.5, MAPS 1-2 Headshots
PrizePicks, Mon Jul 31 1:30 PM, neaLaN, 16.5, MAPS 1-2 Headshots
