PrizePicks, PGA, Thu, Jul 20 7:42 AM, Christiaan Bezuidenhout, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 3:14 AM, Henrik Stenson, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 7:20 AM, Brendon Todd, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 8:04 AM, Abraham Ancer, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 10:21 AM, Nick Taylor, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 9:04 AM, Taylor Moore, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 8:04 AM, Tom Hoge, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 6:15 AM, Yannik Paul, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 4:25 AM, Davis Riley, 36.5, Holes Played
PrizePicks, PGA, Thu, Jul 20 7:53 AM, Billy Horschel, 36.5, Holes Played
