BettingSite, Event Tab, League, Event, Market, Stats
Betano, Spread Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Game Spread  (Set 2), Alexei Popyrin-1.5 +147 Arthur Rinderknech+1.5 -200
Betano, Spread Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Spread Games, Facundo Bagnis-6.5 +875 Dominic Thiem+6.5 -4000 Facundo Bagnis-5.5 +725 Dominic Thiem+5.5 -2500 Facundo Bagnis-4.5 +500 Dominic Thiem+4.5 -1111 Facundo Bagnis-3.5 +390 Dominic Thiem+3.5 -714 Facundo Bagnis-2.5 +300 Dominic Thiem+2.5 -500 Facundo Bagnis-1.5 +260 Dominic Thiem+1.5 -400 Facundo Bagnis-0.5 +230 Dominic Thiem+0.5 -345 Facundo Bagnis+0.5 +200 Dominic Thiem-0.5 -294 Facundo Bagnis+1.5 +175 Dominic Thiem-1.5 -256 Facundo Bagnis+2.5 +140 Dominic Thiem-2.5 -200 Facundo Bagnis+3.5 +110 Dominic Thiem-3.5 -154 Facundo Bagnis+4.5 -175 Dominic Thiem-4.5 +125 Facundo Bagnis+5.5 -238 Dominic Thiem-5.5 +167 Facundo Bagnis+6.5 -500 Dominic Thiem-6.5 +310 Facundo Bagnis+7.5 -1000 Dominic Thiem-7.5 +470 Facundo Bagnis+8.5 -2500 Dominic Thiem-8.5 +775 Facundo Bagnis+9.5 -6667 Dominic Thiem-9.5 +975
Betano, Spread Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Game Spread  (Set 1), Alexei Popyrin+1.5 -167 Arthur Rinderknech-1.5 +127
Betano, Spread Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Match Handicap (Set), Facundo Bagnis-1.5 +540 Dominic Thiem+1.5 -833 Facundo Bagnis+1.5 -118 Dominic Thiem-1.5 -114
Betano, Spread Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Game Spread  (Set 2), Alexei Popyrin+1.5 -167 Arthur Rinderknech-1.5 +127
Betano, Spread Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Game Spread  (Set 1), Facundo Bagnis+2.5 -213 Dominic Thiem-2.5 +157
Betano, Spread Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Game Spread  (Set 2), Dusan Lajovic-1.5 +115 Zhizhen Zhang+1.5 -154
Betano, Spread Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Game Spread  (Set 2), Facundo Bagnis+2.5 -189 Dominic Thiem-2.5 +140
Betano, Spread Markets, Kitzbuhel, Facundo Bagnis - Dominic Thiem, Game Spread  (Set 1), Facundo Bagnis+1.5 +130 Dominic Thiem-1.5 -175
Betano, Spread Markets, Kitzbuhel, Sebastian Ofner - Alex Molcan, Spread Games, Sebastian Ofner-8.5 +950 Alex Molcan+8.5 -6667 Sebastian Ofner-7.5 +700 Alex Molcan+7.5 -2000 Sebastian Ofner-6.5 +490 Alex Molcan+6.5 -1000 Sebastian Ofner-5.5 +295 Alex Molcan+5.5 -476 Sebastian Ofner-4.5 +205 Alex Molcan+4.5 -303 Sebastian Ofner-3.5 +132 Alex Molcan+3.5 -182 Sebastian Ofner-2.5 +102 Alex Molcan+2.5 -143 Sebastian Ofner-1.5 -118 Alex Molcan+1.5 -118 Sebastian Ofner-0.5 -133 Alex Molcan+0.5 -102 Sebastian Ofner+0.5 -154 Alex Molcan-0.5 +110 Sebastian Ofner+1.5 -175 Alex Molcan-1.5 +127 Sebastian Ofner+2.5 -213 Alex Molcan-2.5 +150 Sebastian Ofner+3.5 -286 Alex Molcan-3.5 +195 Sebastian Ofner+4.5 -417 Alex Molcan-4.5 +265 Sebastian Ofner+5.5 -769 Alex Molcan-5.5 +420 Sebastian Ofner+6.5 -1429 Alex Molcan-6.5 +580 Sebastian Ofner+7.5 -4000 Alex Molcan-7.5 +850 Sebastian Ofner+8.5 -10000 Alex Molcan-8.5 +1000
