Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 52.5, +175, Under 52.5, -238
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 51.5, +162, Under 51.5, -222
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 39.5, -192, Under 39.5, +145
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 53.5, +192, Under 53.5, -263
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 56.5, +245, Under 56.5, -357
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 54.5, +210, Under 54.5, -294
Betano, Ottawa Redblacks @ Calgary Stampeders, Calgary Stampeders Points (incl. OT), Over 24.5, -118, Under 24.5, -114
Betano, Ottawa Redblacks @ Calgary Stampeders, Ottawa Redblacks Points (incl. OT), Over 18.5, -120, Under 18.5, -110
Betano, Ottawa Redblacks @ Calgary Stampeders, 1st Half - Points, Over 15.5, -357, Under 15.5, +245
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 55.5, +230, Under 55.5, -323
Betano, Ottawa Redblacks @ Calgary Stampeders, 1st Half - Points, Over 18.5, -192, Under 18.5, +145
Betano, Ottawa Redblacks @ Calgary Stampeders, 1st Half - Points, Over 21.5, -118, Under 21.5, -114
Betano, Ottawa Redblacks @ Calgary Stampeders, 1st Half - Points, Over 27.5, +210, Under 27.5, -294
Betano, Ottawa Redblacks @ Calgary Stampeders, Quarter 1 Points, Over 4.5, -278, Under 4.5, +200
Betano, Ottawa Redblacks @ Calgary Stampeders, 1st Half - Points, Over 24.5, +137, Under 24.5, -182
Betano, Ottawa Redblacks @ Calgary Stampeders, Quarter 1 Points, Over 1.5, -833, Under 1.5, +450
Betano, Ottawa Redblacks @ Calgary Stampeders, Quarter 1 Points, Over 10.5, +167, Under 10.5, -227
Betano, Ottawa Redblacks @ Calgary Stampeders, Quarter 1 Points, Over 13.5, +245, Under 13.5, -357
Betano, Ottawa Redblacks @ Calgary Stampeders, Quarter 1 Points, Over 7.5, -122, Under 7.5, -108
