BettingSite, Team, Date, Player, Stats
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: QiuQiu, 35.0 Fantasy Points on Maps 1+2 1.5 Kills on Map 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: Lwx, 49.3 Fantasy Points on Maps 1+2 8.0 Kills on Map 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: Care, 44.7 Fantasy Points on Maps 1+2 5.5 Kills on Map 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: Shad0w, 46.4 Fantasy Points on Maps 1+2 5.0 Kills on Map 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: invincible, 38.8 Fantasy Points on Maps 1+2 4.0 Kills on Map 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: Photic, 55.0 Fantasy Points on Maps 1+2 10.0 Kills on Map 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: Angel, 54.0 Fantasy Points on Maps 1+2 7.0 Kills on Map 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: Zhuo, 37.9 Fantasy Points on Maps 1+2 1.0 Kills on Map 1+2
Underdog Fantasy, Vertex vs. RoosterWed 5:00AM, CS:GO Malta, 33.0 Kills on Map 1+2 13.5 Headshots on Maps 1+2
Underdog Fantasy, Vertex vs. RoosterWed 5:00AM, CS:GO pz, 37.5 Kills on Map 1+2 11.0 Headshots on Maps 1+2
Underdog Fantasy, Vertex vs. RoosterWed 5:00AM, CS:GO Brace, 36.0 Kills on Map 1+2 19.0 Headshots on Maps 1+2
Underdog Fantasy, Vertex vs. RoosterWed 5:00AM, CS:GO hazr, 37.5 Kills on Map 1+2 20.5 Headshots on Maps 1+2
